iter	Passed	Remaining
0	141	141145
1	141	70772
2	142	47314
3	142	35586
4	143	28539
5	143	23842
6	144	20498
7	145	17990
8	145	16036
9	146	14466
10	146	13188
11	147	12124
12	147	11229
13	148	10458
14	149	9786
15	149	9204
16	150	8689
17	150	8227
18	151	7814
19	151	7441
20	152	7103
21	152	6799
22	153	6520
23	154	6265
24	154	6031
25	155	5817
26	155	5614
27	156	5429
28	156	5256
29	157	5092
30	158	4939
31	158	4795
32	159	4662
33	159	4535
34	160	4415
35	160	4301
36	161	4194
37	161	4093
38	162	3998
39	162	3906
40	163	3819
41	163	3736
42	164	3657
43	164	3581
44	165	3508
45	165	3438
46	166	3372
47	166	3308
48	167	3247
49	167	3189
50	168	3135
51	169	3081
52	169	3030
53	170	2980
54	170	2932
55	171	2886
56	171	2840
57	172	2797
58	172	2756
59	173	2716
60	173	2677
61	174	2639
62	174	2602
63	175	2566
64	176	2532
65	176	2499
66	177	2467
67	177	2432
68	177	2401
69	178	2372
70	179	2343
71	179	2315
72	180	2287
73	180	2261
74	181	2237
75	182	2213
76	182	2189
77	183	2164
78	183	2141
79	184	2118
80	184	2096
81	185	2073
82	185	2052
83	186	2031
84	186	2008
85	187	1988
86	187	1967
87	188	1948
88	188	1930
89	189	1912
90	189	1894
91	190	1876
92	190	1859
93	191	1842
94	191	1825
95	192	1809
96	192	1793
97	193	1777
98	193	1762
99	194	1746
100	194	1732
101	194	1716
102	195	1703
103	196	1689
104	196	1676
105	197	1664
106	197	1651
107	198	1638
108	198	1626
109	199	1613
110	199	1601
111	200	1589
112	201	1577
113	201	1566
114	202	1555
115	202	1543
116	203	1532
117	203	1521
118	204	1510
119	204	1499
120	204	1489
121	205	1478
122	205	1466
123	206	1457
124	206	1447
125	207	1437
126	207	1428
127	208	1418
128	208	1409
129	209	1401
130	209	1392
131	210	1384
132	211	1375
133	211	1367
134	212	1359
135	212	1351
136	213	1343
137	213	1334
138	214	1327
139	214	1319
140	215	1312
141	215	1304
142	216	1296
143	217	1291
144	217	1284
145	218	1277
146	218	1269
147	219	1262
148	219	1255
149	220	1248
150	221	1242
151	221	1236
152	222	1229
153	222	1222
154	223	1216
155	223	1210
156	224	1204
157	224	1198
158	225	1191
159	225	1185
160	226	1179
161	226	1173
162	227	1167
163	227	1162
164	228	1156
165	228	1150
166	229	1144
167	230	1139
168	230	1133
169	230	1127
170	231	1122
171	232	1116
172	232	1111
173	233	1106
174	233	1101
175	234	1096
176	234	1091
177	235	1085
178	235	1081
179	236	1075
180	236	1069
181	236	1064
182	237	1059
183	237	1054
184	238	1050
185	239	1046
186	239	1041
187	240	1037
188	240	1032
189	241	1027
190	241	1023
191	242	1019
192	242	1015
193	243	1010
194	243	1006
195	244	1002
196	244	998
197	245	993
198	245	989
199	246	985
200	246	981
201	247	977
202	247	972
203	248	969
204	248	965
205	249	961
206	249	957
207	250	953
208	251	950
209	251	946
210	252	942
211	252	939
212	253	935
213	253	931
214	254	928
215	254	924
216	255	921
217	255	917
218	256	913
219	256	910
220	257	906
221	257	903
222	258	899
223	258	896
224	259	892
225	259	889
226	260	886
227	260	882
228	261	879
229	261	876
230	262	872
231	262	869
232	263	866
233	263	863
234	264	860
235	264	856
236	265	853
237	265	850
238	266	847
239	266	844
240	267	841
241	267	838
242	268	835
243	268	832
244	269	829
245	269	827
246	270	824
247	271	821
248	271	818
249	271	815
250	272	813
251	273	810
252	273	807
253	274	805
254	274	802
255	275	799
256	275	797
257	276	794
258	276	792
259	277	789
260	278	787
261	278	784
262	279	781
263	279	779
264	280	777
265	280	774
266	281	771
267	281	769
268	282	766
269	282	764
270	283	761
271	283	759
272	284	756
273	284	754
274	285	751
275	285	749
276	286	746
277	286	744
278	287	742
279	287	739
280	288	737
281	288	735
282	289	732
283	289	730
284	290	728
285	290	726
286	291	724
287	291	721
288	292	719
289	293	717
290	293	715
291	294	713
292	294	711
293	295	709
294	296	707
295	296	705
296	297	703
297	297	701
298	298	699
299	299	697
300	299	695
301	300	693
302	300	691
303	301	690
304	302	688
305	302	686
306	303	684
307	303	682
308	304	680
309	305	679
310	305	677
311	306	675
312	306	673
313	307	671
314	308	670
315	308	668
316	309	666
317	309	664
318	310	662
319	311	661
320	311	659
321	312	657
322	312	655
323	313	653
324	314	652
325	314	650
326	315	648
327	315	646
328	316	645
329	316	643
330	317	641
331	318	640
332	318	638
333	319	636
334	320	635
335	321	634
336	321	633
337	322	632
338	323	630
339	324	629
340	324	628
341	325	626
342	326	625
343	327	624
344	328	622
345	328	621
346	329	620
347	330	619
348	331	617
349	332	617
350	333	615
351	333	614
352	334	613
353	335	611
354	335	610
355	336	609
356	337	607
357	338	606
358	338	604
359	339	603
360	339	601
361	340	600
362	341	599
363	342	597
364	342	596
365	343	595
366	344	593
367	344	592
368	345	591
369	346	589
370	347	588
371	347	586
372	348	585
373	349	584
374	350	583
375	350	582
376	351	580
377	352	579
378	353	578
379	353	577
380	354	575
381	355	574
382	355	573
383	356	572
384	357	570
385	358	569
386	358	568
387	359	567
388	360	566
389	361	565
390	361	563
391	362	562
392	363	560
393	363	559
394	364	558
395	365	557
396	366	555
397	366	554
398	367	553
399	368	552
400	369	551
401	370	550
402	370	549
403	371	548
404	372	547
405	373	546
406	374	545
407	375	544
408	375	542
409	376	541
410	377	540
411	378	539
412	378	538
413	379	537
414	380	536
415	381	535
416	381	533
417	382	532
418	383	531
419	384	530
420	384	529
421	385	528
422	386	526
423	387	525
424	387	524
425	388	523
426	389	522
427	390	521
428	390	520
429	391	519
430	392	518
431	393	517
432	394	516
433	394	514
434	395	513
435	396	512
436	396	511
437	397	509
438	398	508
439	398	507
440	399	506
441	400	505
442	401	504
443	401	503
444	402	502
445	403	501
446	404	499
447	404	498
448	405	497
449	406	497
450	407	495
451	408	495
452	409	494
453	410	493
454	410	492
455	411	491
456	412	490
457	413	489
458	414	488
459	415	487
460	416	486
461	417	485
462	417	484
463	418	483
